time, Quad.Roll, Quad.Est.Roll, Quad.Pitch, Quad.Est.Pitch, Quad.Yaw, Quad.Est.Yaw
0.424998,0.005267,0.005151,0.636500,0.637054,0.005393,0.005242
0.429998,0.005063,0.004987,0.642510,0.641871,0.005436,0.005276
0.434998,0.004884,0.004774,0.648474,0.649039,0.005481,0.005330
0.439998,0.004727,0.004650,0.654264,0.653683,0.005528,0.005367
0.444998,0.004523,0.004406,0.659783,0.660317,0.005576,0.005424
0.449998,0.004281,0.004211,0.664931,0.664445,0.005627,0.005464
0.454998,0.004076,0.003967,0.669648,0.670117,0.005674,0.005521
0.459998,0.003942,0.003858,0.673728,0.673394,0.005719,0.005557
0.464998,0.003902,0.003810,0.676809,0.677100,0.005760,0.005605
0.469997,0.003939,0.003840,0.678508,0.678473,0.005793,0.005632
0.474997,0.004015,0.003933,0.678449,0.678409,0.005816,0.005660
0.479997,0.004082,0.003989,0.676269,0.676679,0.005827,0.005668
0.484997,0.004055,0.003957,0.671681,0.671183,0.005819,0.005659
0.489997,0.003905,0.003837,0.664477,0.665431,0.005794,0.005640
0.494997,0.003646,0.003527,0.654529,0.653509,0.005755,0.005594
0.499997,0.003303,0.003251,0.641889,0.643402,0.005706,0.005555
0.504997,0.002957,0.002838,0.626814,0.625331,0.005654,0.005492
0.509997,0.002680,0.002615,0.609599,0.611565,0.005599,0.005449
0.514997,0.002487,0.002383,0.590541,0.588715,0.005543,0.005382
0.519997,0.002353,0.002277,0.569935,0.572238,0.005488,0.005340
0.524997,0.002297,0.002212,0.547982,0.545911,0.005437,0.005280
0.529997,0.002307,0.002223,0.524798,0.527373,0.005386,0.005241
0.534997,0.002366,0.002296,0.500512,0.498248,0.005331,0.005178
0.539997,0.002517,0.002420,0.475258,0.478056,0.005268,0.005130
0.544997,0.002686,0.002625,0.449054,0.446628,0.005195,0.005047
0.549996,0.002875,0.002778,0.421907,0.424920,0.005111,0.004981
0.554996,0.003050,0.002989,0.393891,0.391316,0.005019,0.004875
0.559996,0.003153,0.003071,0.365004,0.368218,0.004925,0.004803
0.564996,0.003160,0.003080,0.335302,0.332592,0.004834,0.004695
0.569996,0.003061,0.003000,0.304878,0.308260,0.004749,0.004629
0.574996,0.002837,0.002730,0.273862,0.271057,0.004675,0.004542
0.579996,0.002441,0.002412,0.242381,0.245880,0.004614,0.004492
0.584996,0.001911,0.001776,0.210558,0.207707,0.004571,0.004440
0.589996,0.001307,0.001291,0.178545,0.182103,0.004551,0.004423
0.594996,0.000652,0.000505,0.146470,0.143626,0.004556,0.004426
