time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
0.714994,-0.000122,-0.001425,-0.000096
0.719994,-0.000126,-0.001163,-0.000088
0.724994,-0.000129,-0.000798,-0.000053
0.729994,-0.000131,-0.000559,-0.000013
0.734994,-0.000132,-0.000214,0.000032
0.739994,-0.000132,0.000031,0.000026
0.744994,-0.000133,0.000396,-0.000002
0.749994,-0.000134,0.000638,-0.000027
0.754994,-0.000135,0.001001,-0.000053
0.759994,-0.000136,0.001245,-0.000068
0.764994,-0.000137,0.001578,-0.000095
0.769994,-0.000139,0.001781,-0.000098
0.774994,-0.000141,0.002059,-0.000088
0.779994,-0.000143,0.002228,-0.000073
0.784993,-0.000146,0.002455,-0.000043
0.789993,-0.000148,0.002610,-0.000024
0.794993,-0.000149,0.002813,0.000003
0.799993,-0.000151,0.002947,0.000022
0.804993,-0.000152,0.003113,0.000046
0.809993,-0.000152,0.003208,0.000047
0.814993,-0.000154,0.003329,0.000023
0.819993,-0.000153,0.003390,0.000017
0.824993,-0.000153,0.003486,0.000014
0.829993,-0.000154,0.003524,0.000010
0.834993,-0.000157,0.003572,-0.000013
0.839993,-0.000158,0.003597,-0.000017
0.844993,-0.000161,0.003649,-0.000005
0.849993,-0.000162,0.003687,-0.000009
0.854993,-0.000163,0.003736,-0.000032
0.859993,-0.000165,0.003742,-0.000061
0.864992,-0.000167,0.003717,-0.000081
0.869992,-0.000168,0.003699,-0.000092
0.874992,-0.000169,0.003649,-0.000097
0.879992,-0.000171,0.003616,-0.000102
0.884992,-0.000174,0.003569,-0.000102
0.889992,-0.000175,0.003528,-0.000107
0.894992,-0.000178,0.003443,-0.000111
0.899992,-0.000181,0.003375,-0.000118
0.904992,-0.000183,0.003261,-0.000133
0.909992,-0.000184,0.003182,-0.000300
0.914992,-0.000187,0.003062,-0.000989
0.919992,-0.000192,0.002986,-0.001762
0.924992,-0.000206,0.002844,-0.003430
0.929992,-0.000217,0.002769,-0.004780
0.934992,-0.000240,0.002677,-0.006892
0.939991,-0.000256,0.002592,-0.008249
0.944991,-0.000276,0.002421,-0.009937
0.949991,-0.000282,0.002276,-0.010714
0.954991,-0.000274,0.002009,-0.011320
0.959991,-0.000252,0.001798,-0.011335
0.964991,-0.000190,0.001446,-0.010870
0.969991,-0.000136,0.001214,-0.010317
0.974991,-0.000037,0.000868,-0.009231
0.979991,0.000034,0.000654,-0.008418
0.984991,0.000142,0.000362,-0.007180
0.989991,0.000212,0.000196,-0.006406
0.994991,0.000304,-0.000010,-0.005404
0.999991,0.000350,-0.000102,-0.004856
1.004991,0.000400,-0.000191,-0.004235
1.009991,0.000422,-0.000227,-0.003939
1.014991,0.000441,-0.000254,-0.003687
1.019992,0.000444,-0.000251,-0.003613
1.024992,0.000429,-0.000207,-0.003593
1.029992,0.000412,-0.000170,-0.003620
1.034992,0.000371,-0.000092,-0.003676
1.039993,0.000339,-0.000031,-0.003708
1.044993,0.000287,0.000062,-0.003713
1.049993,0.000257,0.000113,-0.003689
1.054993,0.000223,0.000165,-0.003621
1.059994,0.000217,0.000176,-0.003520
1.064994,0.000242,0.000142,-0.002946
1.069994,0.000274,0.000098,-0.002165
1.074994,0.000350,-0.000000,-0.000414
1.079994,0.000418,-0.000088,0.001112
1.084995,0.000528,-0.000232,0.003848
1.089995,0.000609,-0.000344,0.005904
1.094995,0.000728,-0.000523,0.009208
1.099995,0.000805,-0.000651,0.011409
1.104996,0.000897,-0.000832,0.014500
1.109996,0.000953,-0.000972,0.016231
1.114996,0.001010,-0.001169,0.018024
1.119996,0.001024,-0.001273,0.018601
1.124997,0.001022,-0.001388,0.018668
1.129997,0.001008,-0.001426,0.018293
1.134997,0.000980,-0.001452,0.017219
1.139997,0.000962,-0.001440,0.016257
1.144997,0.000940,-0.001380,0.014580
1.149998,0.000932,-0.001330,0.013400
1.154998,0.000925,-0.001260,0.011603
1.159998,0.000922,-0.001222,0.010409
1.164998,0.000924,-0.001168,0.008669
1.169999,0.000926,-0.001138,0.007587
1.174999,0.000938,-0.001069,0.006165
1.179999,0.000950,-0.001011,0.005393
1.184999,0.000972,-0.000920,0.004517
1.190000,0.000992,-0.000842,0.004123
1.195000,0.001020,-0.000740,0.003799
1.200000,0.001030,-0.000704,0.003719
1.205000,0.001040,-0.000663,0.003756
1.210001,0.001048,-0.000634,0.003823
1.215001,0.001047,-0.000621,0.003914
1.220001,0.001047,-0.000616,0.003938
1.225001,0.001054,-0.000597,0.003907
1.230001,0.001060,-0.000580,0.003841
1.235002,0.001078,-0.000535,0.003676
1.240002,0.001094,-0.000498,0.003531
1.245002,0.001133,-0.000418,0.003272
1.250002,0.001165,-0.000356,0.003083
1.255003,0.001193,-0.000299,0.002785
1.260003,0.001207,-0.000271,0.002593
1.265003,0.001229,-0.000233,0.002327
1.270003,0.001251,-0.000196,0.002181
1.275004,0.001280,-0.000150,0.002020
1.280004,0.001297,-0.000124,0.001961
1.285004,0.001314,-0.000094,0.001884
1.290004,0.001318,-0.000086,0.001805
1.295004,0.001345,-0.000050,0.001676
1.300005,0.001371,-0.000012,0.001597
1.305005,0.001414,0.000050,0.001495
1.310005,0.001437,0.000086,0.001411
1.315005,0.001450,0.000106,0.001314
1.320006,0.001451,0.000108,0.001264
1.325006,0.001454,0.000114,0.001212
1.330006,0.001464,0.000131,0.001169
1.335006,0.001496,0.000175,0.001114
1.340007,0.001513,0.000199,0.001088
1.345007,0.001554,0.000253,0.001079
1.350007,0.001588,0.000296,0.001049
1.355007,0.001622,0.000344,0.000892
1.360008,0.001635,0.000363,0.000666
1.365008,0.001664,0.000401,0.000169
1.370008,0.001686,0.000428,-0.000258
1.375008,0.001733,0.000490,-0.001009
1.380008,0.001765,0.000530,-0.001560
1.385009,0.001797,0.000572,-0.002438
1.390009,0.001809,0.000589,-0.003032
1.395009,0.001806,0.000592,-0.003880
1.400009,0.001797,0.000584,-0.004403
1.405010,0.001782,0.000571,-0.005120
1.410010,0.001776,0.000566,-0.005545
1.415010,0.001773,0.000564,-0.006088
1.420010,0.001761,0.000548,-0.006401
1.425011,0.001747,0.000535,-0.006828
1.430011,0.001740,0.000530,-0.007088
1.435011,0.001726,0.000519,-0.007429
1.440011,0.001712,0.000504,-0.007645
1.445011,0.001678,0.000455,-0.007942
1.450012,0.001659,0.000426,-0.008127
1.455012,0.001638,0.000402,-0.008381
1.460012,0.001629,0.000393,-0.008540
1.465012,0.001619,0.000389,-0.008742
